order_date,total_orders,total_order_lines,order_line_density_velocity,order_velocity
2025-05-15,24,60,2.50,24
2025-05-16,25,57,2.28,25
2025-05-17,20,54,2.70,20
2025-05-18,22,59,2.68,22
2025-05-19,24,53,2.21,24
2025-05-20,25,64,2.56,25
2025-05-21,25,61,2.44,25
2025-05-22,25,64,2.56,25
2025-05-23,21,53,2.52,21
2025-05-24,25,53,2.12,25
2025-05-25,24,63,2.63,24
2025-05-26,20,48,2.40,20
2025-05-27,22,52,2.36,22
2025-05-28,24,59,2.46,24
2025-05-29,23,50,2.17,23
2025-05-30,23,53,2.30,23
2025-05-31,21,54,2.57,21
2025-06-01,22,50,2.27,22
2025-06-02,25,64,2.56,25
2025-06-03,21,52,2.48,21
2025-06-04,23,59,2.57,23
2025-06-05,24,63,2.63,24
2025-06-06,22,57,2.59,22
2025-06-07,21,53,2.52,21
2025-06-08,21,47,2.24,21
2025-06-09,22,52,2.36,22
2025-06-10,20,51,2.55,20
2025-06-11,23,53,2.30,23
2025-06-12,20,56,2.80,20
2025-06-13,23,44,1.91,23
2025-06-14,23,61,2.65,23
2025-06-15,20,44,2.20,20
2025-06-16,24,58,2.42,24
2025-06-17,25,56,2.24,25
2025-06-18,25,57,2.28,25
2025-06-19,25,68,2.72,25
2025-06-20,22,54,2.45,22
2025-06-21,21,43,2.05,21
2025-06-22,24,57,2.38,24
2025-06-23,23,55,2.39,23
2025-06-24,24,61,2.54,24
2025-06-25,21,52,2.48,21
2025-06-26,21,54,2.57,21
2025-06-27,23,61,2.65,23
2025-06-28,21,47,2.24,21
2025-06-29,20,55,2.75,20
2025-06-30,25,66,2.64,25
2025-07-01,22,47,2.14,22
2025-07-02,22,55,2.50,22
2025-07-03,20,54,2.70,20
2025-07-04,20,48,2.40,20
2025-07-05,21,54,2.57,21
2025-07-06,22,58,2.64,22
2025-07-07,21,62,2.95,21
2025-07-08,21,47,2.24,21
2025-07-09,25,65,2.60,25
2025-07-10,21,46,2.19,21
2025-07-11,20,54,2.70,20
2025-07-12,22,54,2.45,22
2025-07-13,23,60,2.61,23
2025-07-14,20,49,2.45,20
2025-07-15,24,64,2.67,24
2025-07-16,23,63,2.74,23
2025-07-17,24,56,2.33,24
2025-07-18,22,53,2.41,22
2025-07-19,21,53,2.52,21
2025-07-20,25,67,2.68,25
2025-07-21,25,60,2.40,25
2025-07-22,23,54,2.35,23
2025-07-23,20,56,2.80,20
2025-07-24,20,49,2.45,20
2025-07-25,25,63,2.52,25
2025-07-26,23,57,2.48,23
2025-07-27,24,57,2.38,24
2025-07-28,23,47,2.04,23
2025-07-29,23,60,2.61,23
2025-07-30,22,49,2.23,22
2025-07-31,24,57,2.38,24
2025-08-01,20,48,2.40,20
2025-08-02,21,47,2.24,21
2025-08-03,23,69,3.00,23
2025-08-04,20,54,2.70,20
2025-08-05,23,62,2.70,23
2025-08-06,24,64,2.67,24
2025-08-07,22,52,2.36,22
2025-08-08,24,65,2.71,24
2025-08-09,25,55,2.20,25
2025-08-10,25,57,2.28,25
2025-08-11,22,53,2.41,22
2025-08-12,22,56,2.55,22
2025-08-13,20,47,2.35,20
2025-08-14,25,62,2.48,25
2025-08-15,25,62,2.48,25
2025-08-16,25,72,2.88,25
2025-08-17,23,73,3.17,23
2025-08-18,21,58,2.76,21
2025-08-19,22,65,2.95,22
2025-08-20,20,50,2.50,20
2025-08-21,23,50,2.17,23
2025-08-22,20,46,2.30,20
2025-08-23,21,59,2.81,21
2025-08-24,20,42,2.10,20
2025-08-25,23,49,2.13,23
2025-08-26,22,58,2.64,22
2025-08-27,21,59,2.81,21
2025-08-28,22,59,2.68,22
2025-08-29,24,58,2.42,24
2025-08-30,20,49,2.45,20
2025-08-31,24,53,2.21,24
2025-09-01,21,48,2.29,21
2025-09-02,20,50,2.50,20
2025-09-03,25,67,2.68,25
2025-09-04,24,59,2.46,24
2025-09-05,25,57,2.28,25
2025-09-06,24,64,2.67,24
2025-09-07,25,53,2.12,25
2025-09-08,22,60,2.73,22
2025-09-09,23,54,2.35,23
2025-09-10,21,51,2.43,21
2025-09-11,24,57,2.38,24
2025-09-12,22,48,2.18,22
2025-09-13,21,56,2.67,21
2025-09-14,23,62,2.70,23
2025-09-15,20,50,2.50,20
2025-09-16,24,64,2.67,24
2025-09-17,24,70,2.92,24
2025-09-18,21,53,2.52,21
2025-09-19,25,66,2.64,25
2025-09-20,25,58,2.32,25
2025-09-21,23,52,2.26,23
2025-09-22,25,60,2.40,25
2025-09-23,20,47,2.35,20
2025-09-24,22,56,2.55,22
2025-09-25,21,51,2.43,21
2025-09-26,23,60,2.61,23
2025-09-27,23,56,2.43,23
2025-09-28,20,60,3.00,20
2025-09-29,23,55,2.39,23
2025-09-30,22,47,2.14,22
2025-10-01,25,70,2.80,25
2025-10-02,23,57,2.48,23
2025-10-03,22,52,2.36,22
2025-10-04,23,58,2.52,23
2025-10-05,23,58,2.52,23
2025-10-06,21,48,2.29,21
2025-10-07,20,50,2.50,20
2025-10-08,23,50,2.17,23
2025-10-09,22,59,2.68,22
2025-10-10,23,63,2.74,23
2025-10-11,25,62,2.48,25
2025-10-12,23,65,2.83,23
2025-10-13,25,61,2.44,25
2025-10-14,22,52,2.36,22
2025-10-15,23,62,2.70,23
2025-10-16,24,57,2.38,24
2025-10-17,25,77,3.08,25
2025-10-18,24,57,2.38,24
2025-10-19,22,51,2.32,22
2025-10-20,20,44,2.20,20
2025-10-21,23,61,2.65,23
2025-10-22,24,47,1.96,24
2025-10-23,24,57,2.38,24
2025-10-24,20,54,2.70,20
2025-10-25,22,67,3.05,22
